title,link,published,summary
Dollar set for best week in a year as yen struggles,https://economictimes.indiatimes.com/markets/forex/dollar-set-for-best-week-in-a-year-as-yen-struggles/articleshow/124402634.cms,"Thu, 09 Oct 2025 07:36:59 +0530","The dollar strengthened this week, driven by a weakening yen amid political shifts in Japan and ongoing U.S. government shutdown concerns. Investors sought safe havens like gold as global political uncertainty persisted.  The yen's slide and France's political crisis are bolstering the dollar, while the euro faces headwinds. Federal Reserve minutes suggest caution on future rate cuts."
"Oil falls on Gaza plan, fading Middle East risk premium",https://economictimes.indiatimes.com/markets/commodities/news/oil-falls-on-gaza-plan-fading-middle-east-risk-premium/articleshow/124402615.cms,"Thu, 09 Oct 2025 07:35:12 +0530","Oil prices dropped today as Israel and Hamas reached a ceasefire agreement for Gaza. This development eased concerns about a wider regional conflict, a key factor supporting oil prices. Investors are now selling off oil holdings. Meanwhile, US oil consumption saw a significant rise, reaching its highest point since December 2022."
"S&amp;P 500, Nasdaq end higher as tech strength outweighs Fed concerns",https://economictimes.indiatimes.com/markets/stocks/news/sp-500-nasdaq-end-higher-as-tech-strength-outweighs-fed-concerns/articleshow/124402595.cms,"Thu, 09 Oct 2025 07:32:18 +0530","Technology shares propelled U.S. stocks to record highs, led by AI megacaps, as investors awaited Federal Reserve minutes for interest rate clues amid a government shutdown. Chip stocks outperformed, while gold prices surged due to geopolitical uncertainty. The Fed minutes revealed a divided committee on rate cuts."
Sensex Today | Stock Market LIVE Updates: GIFT Nifty signals a positive start; Asian shares trade higher,https://economictimes.indiatimes.com/markets/stocks/live-blog/bse-sensex-today-live-nifty-stock-market-updates-09-october-2025/liveblog/124402593.cms,"Thu, 09 Oct 2025 07:32:01 +0530",
Rs 10 lakh to Rs 1 crore! India's oldest gold ETF sparkles with dazzling 950% return,https://economictimes.indiatimes.com/markets/stocks/news/rs-10-lakh-to-rs-1-crore-indias-oldest-gold-etf-sparkles-with-dazzling-950-return/articleshow/124402561.cms,"Thu, 09 Oct 2025 07:26:44 +0530","India's oldest gold ETF, Nippon India ETF Gold BeES, has delivered an impressive 950% return since 2007, transforming a Rs 10 lakh investment into over Rs 1 crore. This remarkable performance coincides with gold's record-breaking surge globally and domestically, driven by inflation, geopolitical concerns, and de-dollarization trends."
"L&amp;T set for momentum breakout, says Ruchit Jain of Motilal Oswal",https://economictimes.indiatimes.com/markets/stocks/lt-set-for-momentum-breakout-says-ruchit-jain-of-motilal-oswal/videoshow/124380289.cms,"Thu, 09 Oct 2025 07:00:00 +0530",
GIFT Nifty up 60 points; here's the trading setup for today's session,https://economictimes.indiatimes.com/markets/stocks/news/pre-market-action-heres-the-trade-setup-for-todays-session/articleshow/124402308.cms,"Thu, 09 Oct 2025 06:49:31 +0530","Indian markets closed flat on Wednesday following profit booking after an initial strong start. Investors are now awaiting US jobless claims data, with analysts anticipating a range-bound market influenced by global cues and Q2 earnings. The India VIX saw a slight increase, indicating rising market fear."
"Stocks in news: TCS, PVR Inox, Senco Gold, JSW Cement, Maruti Suzuki",https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-tcs-pvr-inox-senco-gold-jsw-cement-maruti-suzuki/articleshow/124402285.cms,"Thu, 09 Oct 2025 06:45:28 +0530","Indian markets saw a slight dip after recent gains, with all eyes now on TCS's Q2 earnings report. Analysts anticipate further consolidation with a positive outlook. Key stocks in focus include TCS, PVR Inox's new dine-in cinema concept, Lupin's US expansion, Maruti Suzuki's service network growth, JSW Cement's new unit, and Senco Gold's revenue increase."
Asian shares rise after US gains driven by AI-linked companies,https://economictimes.indiatimes.com/markets/stocks/news/asian-shares-rise-after-us-gains-driven-by-ai-linked-companies/articleshow/124402260.cms,"Thu, 09 Oct 2025 06:41:33 +0530","Asian shares opened higher, mirroring Wall Street's gains driven by AI-linked companies. Gold and oil saw slight declines following a reported Middle East peace deal. Investors are closely watching China's market reopening after a holiday break, balancing AI enthusiasm against cautious consumer spending data."
Can Rubicon Research sustain its impressive growth while facing US market risks?,https://economictimes.indiatimes.com/markets/ipos/fpos/can-rubicon-research-sustain-its-impressive-growth-while-facing-us-market-risks/articleshow/124402235.cms,"Thu, 09 Oct 2025 06:34:27 +0530","Rubicon Research plans to raise ₹500 crore through a fresh issue for debt repayment and acquisitions, alongside an ₹877.5 crore offer for sale. The pharmaceutical company reported strong revenue and profit growth with margin expansion, boasting a higher RoNW than peers. However, high revenue concentration in the US and from top customers presents a risk."
"Adani Enterprises to raise up to Rs 3,000 cr via NCDs",https://economictimes.indiatimes.com/markets/stocks/news/adani-enterprises-to-raise-up-to-rs-3000-cr-via-ncds/articleshow/124402226.cms,"Thu, 09 Oct 2025 06:31:50 +0530","The company aims to spend ₹36,000 crore in capital expenditure in the current fiscal. Adani Enterprises first tapped the domestic NCD market last year, where it raised ₹800 crore. This was followed by fund raising of ₹1,000 crore in July this year."
"TCS revenue to inch up, margins may shrink in Q2",https://economictimes.indiatimes.com/markets/stocks/earnings/tcs-revenue-to-inch-up-margins-may-shrink-in-q2/articleshow/124402208.cms,"Thu, 09 Oct 2025 06:27:26 +0530","TCS is poised to report a modest sequential revenue increase in dollar terms for the September quarter, following a prior decline. However, operating margins and net profit are anticipated to weaken due to lower employee utilization and the impact of partial salary hikes. Investors will be closely watching for insights into the deal pipeline and future outlook."
Sebi working on a password for the quantum change,https://economictimes.indiatimes.com/markets/stocks/news/sebi-working-on-a-password-for-the-quantum-change/articleshow/124402147.cms,"Thu, 09 Oct 2025 06:14:55 +0530","Speaking to reporters on the sidelines of the Global Fintech Fest here on Wednesday, the Sebi chief likened the planned upgrade in the password systems to Y2K, when computer systems had to be updated from two-digit to four-digit years to avoid failures."
Can Canara Robeco attract long-term investors amidst market volatility?,https://economictimes.indiatimes.com/markets/ipos/fpos/can-canara-robeco-attract-long-term-investors-amidst-market-volatility/articleshow/124402087.cms,"Thu, 09 Oct 2025 06:05:30 +0530","Canara Robeco Asset Management Company is set to raise ₹1,326 crore via an offer for sale, reducing its promoter stake to 75%. The equity-driven fund house, with 92% of assets in equity schemes, faces earnings sensitivity to market volatility. Despite a lower profit margin than peers, its IPO valuation is positioned for long-term, high-risk investors."
Sebi revamps block deal framework to enhance transparency and efficiency in large trades,https://economictimes.indiatimes.com/markets/stocks/news/sebi-revamps-block-deal-framework-to-enhance-transparency-and-efficiency-in-large-trades/articleshow/124402070.cms,"Thu, 09 Oct 2025 06:01:59 +0530","Sebi has revamped its block deal framework for T+1 and optional T+0 settlement cycles, introducing defined trading windows and tighter price bands.  New norms aim to enhance transparency and efficiency for large trades, with mandatory delivery and enhanced disclosure requirements effective December 8."
"S&amp;P 500's torrid rally seen having more fuel left from AI, US Fed",https://economictimes.indiatimes.com/markets/stocks/news/sp-500s-torrid-rally-seen-having-more-fuel-left-from-ai-us-fed/articleshow/124402037.cms,"Thu, 09 Oct 2025 05:55:15 +0530","US stocks have seen a remarkable recovery, mirroring past rallies that often led to further gains. Investors are optimistic, driven by Federal Reserve actions and corporate resilience. However, potential challenges like government shutdowns and trade tensions loom. Upcoming earnings reports will be crucial in determining the market's direction. The tech sector's high valuations also raise some concerns."
"Green stocks are beating big indices, even gold",https://economictimes.indiatimes.com/markets/stocks/news/green-stocks-are-beating-big-indices-even-gold/articleshow/124402005.cms,"Thu, 09 Oct 2025 05:49:23 +0530","Clean energy stocks are surging, outperforming major indexes and gold, driven by soaring demand for renewables to power the AI boom. Investors are increasingly recognizing the crucial role of green energy in meeting AI's immense power needs, despite policy shifts. Lower US interest rates are also supporting these capital-intensive sectors."
"Tata Capital mega IPO through, LG's subscribed 3.3x",https://economictimes.indiatimes.com/markets/ipos/fpos/tata-capital-mega-ipo-through-lgs-subscribed-3-3x/articleshow/124401976.cms,"Thu, 09 Oct 2025 05:40:02 +0530","In Tata Capital's IPO, the qualified institutional buyers (QIBs) portion of the non-banking financial company's IPO was subscribed 3.42 times, while the non-institutional investors (NIIs) or high-net-worth individuals' portion and the retail investors' portion were subscribed 1.98 times and 1.1 times, respectively. The employee reserved portion saw a subscription of 2.92 times."
RBI ready to do heavy lifting on loan risk weights,https://economictimes.indiatimes.com/markets/stocks/news/rbi-ready-to-do-heavy-lifting-on-loan-risk-weights/articleshow/124402178.cms,"Thu, 09 Oct 2025 05:30:00 +0530",The Reserve Bank of India is proposing new rules for bank loans. These changes aim to reward good credit habits.  Banks will have lower capital requirements for certain loans. This could lead to more lending.  Credit card users who pay on time will benefit.  Big home loans may see tighter rules.  These proposals are for future implementation.
"Healthcare, IT lead FPI outflows as policy worries cloud outlook",https://economictimes.indiatimes.com/markets/stocks/news/healthcare-it-lead-fpi-outflows-as-policy-worries-cloud-outlook/articleshow/124401920.cms,"Thu, 09 Oct 2025 05:23:57 +0530","Foreign investors divested ₹4,521 crore from IT and ₹4,036 crore from healthcare stocks in the latter half of September. This selling was driven by concerns over US H-1B visa restrictions and new pharma tariffs, impacting export-oriented sectors. Overall, FPIs sold ₹19,647 crore across 15 sectors during the period."
RBI unveils four digital payments initiatives,https://economictimes.indiatimes.com/markets/stocks/news/rbi-unveils-four-digital-payments-initiatives/articleshow/124401990.cms,"Thu, 09 Oct 2025 00:44:49 +0530","The RBI has launched four digital payment initiatives at the Global Fintech Fest to enhance customer convenience. These include AI-based UPI HELP for payment assistance and dispute resolution, and IoT Payments for transactions from connected devices. Additionally, 'Banking Connect' offers interoperable net banking, and 'UPI Reserve Pay' allows users to manage credit limits for specific purposes."
"KYC a challenge, have to simplify norms: SBI chief",https://economictimes.indiatimes.com/markets/stocks/news/kyc-a-challenge-have-to-simplify-norms-sbi-chief/articleshow/124402003.cms,"Thu, 09 Oct 2025 00:25:40 +0530","State Bank of India Chairman CS Setty has urged policymakers and tech developers to simplify the Know Your Customer (KYC) process, identifying it as a major hurdle for both banks and customers. SBI is also enhancing its YONO 2."
Shift to new provisioning ways to have little impact: SBI chairman CS Setty,https://economictimes.indiatimes.com/markets/stocks/news/shift-to-new-provisioning-ways-to-have-little-impact-sbi-chairman-cs-setty/articleshow/124401996.cms,"Thu, 09 Oct 2025 00:22:02 +0530",New banking rules for credit loss provisions will have limited impact. The Reserve Bank of India has proposed a phased implementation starting April 2027. Banks will have four years to adjust existing loans. State Bank of India chairman CS Setty confirmed the bank is technologically prepared for these upcoming changes.
"New lending platform to expand credit access, inclusion: RBI Guv Sanjay Malhotra",https://economictimes.indiatimes.com/markets/stocks/news/new-lending-platform-to-expand-credit-access-inclusion-rbi-guv-sanjay-malhotra/articleshow/124401971.cms,"Thu, 09 Oct 2025 00:12:52 +0530","RBI Governor Sanjay Malhotra highlighted the crucial role of the account aggregator framework and the new unified lending interface (ULI) in expanding credit access for the under-served. These initiatives aim to enhance interoperability and leverage richer financial data, strengthening the credit delivery ecosystem and fostering financial inclusion."
Ahead of Market: 10 things that will decide stock market action on Thursday,https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-10-things-that-will-decide-stock-market-action-on-thursday/articleshow/124390838.cms,"Wed, 08 Oct 2025 20:54:19 +0530","Indian markets paused their four-day winning streak on Wednesday, with Nifty down 62 points and Sensex 153 points. Weakness in banks outweighed IT gains amid profit booking and pre-earnings caution."
"US yields dip ahead of notes auction, Fed minutes",https://economictimes.indiatimes.com/markets/bonds/us-yields-dip-ahead-of-notes-auction-fed-minutes/articleshow/124390171.cms,"Wed, 08 Oct 2025 20:28:22 +0530",U.S. Treasury yields were flat to lower in early trading on Wednesday as markets awaited an auction of 10-year notes and the release of minutes from last month's central bank meeting.
Indel Money to raise up to Rs 300 cr via public issue of NCDs,https://economictimes.indiatimes.com/markets/bonds/indel-money-to-raise-up-to-rs-300-cr-via-public-issue-of-ncds/articleshow/124390036.cms,"Wed, 08 Oct 2025 20:23:18 +0530",Gold loan financier Indel Money on Wednesday announced its sixth public issue of Secured NCDs with objective to raise up to Rs 300 crore to fund business growth.
"ET Market Watch: Sensex, Nifty slip as banks fall; IT leads gains ahead of Q2",https://economictimes.indiatimes.com/markets/stocks/etmarkets-podcast/et-market-watch-sensex-nifty-slip-as-banks-fall-it-leads-gains-ahead-of-q2/podcast/124389750.cms,"Wed, 08 Oct 2025 20:14:59 +0530",
Market Trading Guide: Buy Aster DM Healthcare and a smallcap stock on Thursday for up to 12% gains,https://economictimes.indiatimes.com/markets/stocks/news/market-trading-guide-buy-aster-dm-healthcare-and-a-smallcap-stock-on-thursday-for-up-to-12-gains/slideshow/124389689.cms,"Wed, 08 Oct 2025 20:09:32 +0530","Nifty snapped its four-day winning streak on Wednesday due to weakness in auto, pharma, and banking stocks. Analysts maintain a buy-on-dips strategy, highlighting opportunities in strong sectors like auto, metals, and PSUs."
"Saatvik Green Energy reports stellar Q1 after tepid listing as PAT skyrockets 459% YoY, revenue soars 272%",https://economictimes.indiatimes.com/markets/stocks/news/saatvik-green-energy-reports-stellar-q1-after-tepid-listing-as-pat-skyrockets-459-yoy-revenue-soars-272/articleshow/124389433.cms,"Wed, 08 Oct 2025 20:03:46 +0530","Saatvik Green Energy reported a 459% YoY jump in Q1FY26 net profit at Rs 119 crore, with revenue up 272% to Rs 916 crore. Shares surged 10% to Rs 506 after its September IPO."
"Sebi raises minimum block deal size to Rs 25 crore, mandates delivery-only trades. Check key takeaways",https://economictimes.indiatimes.com/markets/stocks/news/sebi-raises-minimum-block-deal-size-to-rs-25-crore-mandates-delivery-only-trades-check-key-takeaways/articleshow/124388802.cms,"Wed, 08 Oct 2025 19:32:40 +0530","Sebi increased the minimum block deal size from Rs 10 crore to Rs 25 crore and mandated delivery-based settlement. Trades must stay within ±3% of reference prices, with updated surveillance and trading window rules effective in 60 days."
"S&amp;P 500, Nasdaq advance ahead of Fed remarks",https://economictimes.indiatimes.com/markets/stocks/news/us-stocks-open-higher-with-fed-remarks-on-rate-move-in-focus/articleshow/124388287.cms,"Wed, 08 Oct 2025 19:04:44 +0530","U.S. stocks edged higher as investors awaited Federal Reserve commentary for interest-rate clues amid a government shutdown.  Gold's surge to record highs highlighted a growing appetite for safe havens against policy risks and a shaky economic outlook. Tech stocks led gains, while energy and some financials faced pressure."
The ₹3.5 lakh cr mystery: Inside India’s hidden bank of unclaimed wealth,https://economictimes.indiatimes.com/markets/stocks/news/the-3-5-lakh-cr-mystery-inside-indias-hidden-bank-of-unclaimed-wealth/videoshow/124387998.cms,"Wed, 08 Oct 2025 18:46:24 +0530",
Utkarsh Bank announces Rs 950-cr rights issue at 37.5% discount,https://economictimes.indiatimes.com/markets/stocks/news/utkarsh-bank-announces-rs-950-cr-rights-issue-at-37-5-discount/articleshow/124387812.cms,"Wed, 08 Oct 2025 18:37:17 +0530","Utkarsh Small Finance Bank set its Rs 950-crore rights issue at Rs 14 per share, a 37.5% discount. The issue covers 68 crore shares amid declining stock prices since 2024."
BlackRock adds $22.46 billion in cryptocurrencies in Q3 2025: Report,https://economictimes.indiatimes.com/markets/cryptocurrency/crypto-news/blackrock-adds-22-46-billion-in-cryptocurrencies-in-q3-2025-report/articleshow/124386997.cms,"Wed, 08 Oct 2025 18:02:00 +0530","BlackRock’s cryptocurrency holdings surged $22.46 billion in Q3 2025, led by Ethereum’s 262% growth. Total portfolio reached $102.09 billion, highlighting the firm’s growing institutional push into digital assets."
