title,link,published,summary,sentiment_label,sentiment_score
TruAlt Bioenergy shares slip 7% in 2 trading sessions after market debut,https://economictimes.indiatimes.com/markets/stocks/news/trualt-bioenergy-shares-slip-7-in-2-trading-sessions-after-market-debut/articleshow/124332549.cms,"Mon, 06 Oct 2025 12:00:15 +0530","TruAlt Bioenergy shares slipped 6.7% in two sessions after listing, as early investors booked profits. Despite strong FY25 growth—54% revenue rise, fivefold net profit surge—valuations remain steep at 29x earnings. Analysts suggest partial profit booking amid robust renewable energy demand.",positive,0.9957076493883505
Tata Capital IPO: Issue subscribed 17% on Day 1 so far. Check GMP and other key details,https://economictimes.indiatimes.com/markets/ipos/fpos/tata-capital-ipo-issue-subscribed-17-on-day-1-so-far-check-gmp-and-other-key-details/articleshow/124332253.cms,"Mon, 06 Oct 2025 11:47:22 +0530","Tata Capital IPO: The grey market premium (GMP) remains subdued at about 3% above the issue price. The IPO comprises a fresh issue of Rs 6,846 crore and a promoter offer for sale (OFS) of Rs 8,666 crore by Tata Sons, which currently owns a 95.6% stake in the company.",negative,-0.9999994909854735
"Bitcoin dips after hitting record $125K; Ethereum, altcoins tumble",https://economictimes.indiatimes.com/markets/cryptocurrency/bitcoin-dips-after-hitting-record-125k-ethereum-altcoins-tumble/articleshow/124332094.cms,"Mon, 06 Oct 2025 11:38:01 +0530","Bitcoin dipped slightly to $123,745 after hitting an all-time high, yet maintained strong weekly gains. Robust ETF inflows and institutional demand fuel this rally, with experts anticipating further upward movement. Despite minor corrections, the overall crypto market remains bullish, driven by rising confidence.",negative,-0.20861807465553284
"Top stock ideas this week: Tata Motors, Vodafone among 7 picks offering up to 41% gains",https://economictimes.indiatimes.com/markets/stocks/news/top-stock-ideas-this-week-tata-motors-vodafone-among-7-picks-offering-up-to-41-gains/slideshow/124331957.cms,"Mon, 06 Oct 2025 11:21:34 +0530",ETMarkets has compiled seven technical and fundamental picks for potential upside of up to 41%.,neutral,-9.066321862150062e-07
Kotak Mahindra Bank shares jump 2% after Q2 updates impress investors,https://economictimes.indiatimes.com/markets/stocks/news/kotak-mahindra-bank-shares-jump-2-after-q2-updates-impress-investors/articleshow/124331739.cms,"Mon, 06 Oct 2025 11:18:32 +0530","Kotak Mahindra Bank shares: The stock rose after strong provisional Q2 FY26 results. The bank reported a 14.4% YoY rise in average total deposits to Rs 5,10,138 crore and a sequential increase of 3.7% from the June quarter. Total deposits at quarter-end stood at Rs 5,28,776 crore, up 14.6% YoY, reflecting robust operational strength and continued customer trust.",positive,0.5362927954411134
Yes Bank shares up 4% in 1 week as Q2 metrics impress. What’s next?,https://economictimes.indiatimes.com/markets/stocks/news/yes-bank-shares-up-4-in-1-week-as-q2-metrics-impress-whats-next/articleshow/124331680.cms,"Mon, 06 Oct 2025 11:16:06 +0530","Shares of Yes Bank rose over the past week, supported by strong quarterly loan growth, improved CASA ratios, and investor interest after a strategic stake sale to Sumitomo Mitsui Banking Corporation. Provisional Q2 updates show robust growth in advances and deposits, while technical indicators point to a sustained bullish trend.",positive,0.014357417821884155
Q2 earnings beginning this week to be modest but 3 themes can make money: Motilal Oswal,https://economictimes.indiatimes.com/markets/stocks/news/q2-earnings-beginning-this-week-to-be-modest-but-3-themes-can-make-money-motilal-oswal/articleshow/124331652.cms,"Mon, 06 Oct 2025 11:14:11 +0530","Q2 earnings, starting October 9, are expected to show modest 6% YoY growth for Nifty companies. Motilal Oswal highlights three investment themes—financials vs IT divergence, consumption revival, and new-age sectors—and recommends top large- and mid-cap stocks in autos, healthcare, BFSI, and technology for potential gains.",negative,-0.6257195770740509
"Kalyan Jewellers shares drop despite strong festive demand, driving 30% revenue growth in Q2",https://economictimes.indiatimes.com/markets/stocks/news/kalyan-jewellers-shares-drop-despite-strong-festive-demand-driving-30-revenue-growth-in-q2/articleshow/124331612.cms,"Mon, 06 Oct 2025 11:11:55 +0530","Kalyan Jewellers shares: The stock dropped despite a strong Q2 FY26 performance. The company’s consolidated revenue rose about 30% YoY, driven by festive buying and strong market traction. India operations grew 31% YoY, supported by robust wedding demand and early festive sales, including Navratri. Same-store sales increased roughly 16%, reflecting steady underlying demand.",neutral,0.0008141349753714167
Battle of NBFC giants: Should you invest in Tata Capital IPO or one of Bajaj Finance and HDB Financial?,https://economictimes.indiatimes.com/markets/stocks/news/battle-of-nbfc-giants-should-you-invest-in-tata-capital-ipo-or-one-of-bajaj-finance-and-hdb-financial/articleshow/124331557.cms,"Mon, 06 Oct 2025 11:08:57 +0530","Tata Capital’s IPO positions it between Bajaj Finance and HDB Financial, offering investors a tactical growth opportunity with potential re-rating backed by its strong brand, capital base, and expanding retail book. Bajaj Finance remains the safest long-term play with stable compounding, while HDB Financial provides steady growth once asset quality stabilizes, catering to different investor profiles in India’s NBFC space.",negative,-0.9999908112185949
GST cut sparks unlikely hero in auto sector. Which stocks to buy before Diwali?,https://economictimes.indiatimes.com/markets/stocks/news/gst-cut-sparks-unlikely-hero-in-auto-sector-which-stocks-to-buy-before-diwali/articleshow/124331492.cms,"Mon, 06 Oct 2025 11:05:15 +0530","The GST cut has boosted India’s auto sector, with tractors leading a 50% YoY surge and two-wheelers, PVs, and LCVs also gaining. Analysts see early festive-season traction, rural demand recovery, and strong OEM sales driving near-term growth, highlighting potential stock opportunities in tractors, PVs, two-wheelers, and auto ancillaries.",neutral,0.12297439714893699
Rupee rises 5 paise to 88.74 against US dollar in early trade,https://economictimes.indiatimes.com/markets/forex/rupee-rises-5-paise-to-88-74-against-us-dollar-in-early-trade/articleshow/124331479.cms,"Mon, 06 Oct 2025 11:04:14 +0530",Forex traders said the rupee is trading in a tight range as it remains under pressure due to continued capital outflows and geopolitical developments.,negative,-0.9859067788347602
"Poonawalla Fincorp shares rally 6%, hit fresh 52-week high after strong Q2 numbers",https://economictimes.indiatimes.com/markets/stocks/news/poonawalla-fincorp-shares-rally-6-hit-fresh-52-week-high-after-strong-q2-numbers/articleshow/124331456.cms,"Mon, 06 Oct 2025 11:02:24 +0530","Poonawalla Fincorp shares surged following a strong Q2 FY26 business update. The company reported Assets Under Management of Rs 47,625 crore, up 67.7% YoY and 15.4% QoQ, along with a healthy liquidity of Rs 6,200 crore. Management highlighted a “risk-first” approach, robust risk management, and focus on sustainable long-term growth.",neutral,-1.0393287652732397e-07
7 IPOs to list tomorrow. Check GMPs to see if your pick will have a strong debut,https://economictimes.indiatimes.com/markets/stocks/news/7-ipos-to-list-tomorrow-check-gmps-to-see-if-your-pick-will-have-a-strong-debut/slideshow/124331915.cms,"Mon, 06 Oct 2025 11:02:10 +0530","Seven IPOs, from SME and mainboard segments, are set to debut amid mixed subscription levels. Grey market trends suggest cautious sentiment, with most listings likely to open around issue prices.",neutral,-0.0007639901147058481
"The dreaded Rs 10,000-crore IPO curse may be breaking. Can LG and Tata Capital seal the turnaround?",https://economictimes.indiatimes.com/markets/ipos/fpos/the-dreaded-rs-10000-crore-ipo-curse-may-be-breaking-can-lg-and-tata-capital-seal-the-turnaround/articleshow/124331084.cms,"Mon, 06 Oct 2025 10:38:10 +0530","India’s mega IPO market, defined by issues over Rs 10,000 crore, has long disappointed investors, with Paytm, LIC, and Coal India leaving losses in their wake. However, the trend appears to be reversing: newer large listings such as Hyundai Motor India, Swiggy, and HDB Financial are trading above issue prices, suggesting the Rs 10,000-crore IPO curse may finally be easing.",negative,-0.9344272874295712
Aditya Birla Lifestyle shares surge 11% on Rs 950 crore block deal; Flipkart likely seller,https://economictimes.indiatimes.com/markets/stocks/news/aditya-birla-lifestyle-shares-surge-11-on-rs-950-crore-block-deal-flipkart-likely-seller/articleshow/124331052.cms,"Mon, 06 Oct 2025 10:34:55 +0530","Aditya Birla Lifestyle shares: The stock surged after a major block deal of over 7 crore shares (5.93% equity) took place. Flipkart Investments is reported to be the seller, with the deal executed at Rs 130 per share, totaling over Rs 900 crore. The transaction, attracting multiple institutional investors, highlights sustained interest in India’s premium lifestyle and apparel sector.",neutral,-0.005684622534317896
Inflation concerns keep most Fed officials cautious,https://economictimes.indiatimes.com/markets/stocks/news/inflation-concerns-keep-most-fed-officials-cautious/slideshow/124330973.cms,"Mon, 06 Oct 2025 10:20:09 +0530",,positive,0.9999490006794076
Pharma tariffs and value retailers: Sudip Bandyopadhyay shares market outlook,https://economictimes.indiatimes.com/markets/expert-view/pharma-tariffs-and-value-retailers-sudip-bandyopadhyay-shares-market-outlook/articleshow/124330644.cms,"Mon, 06 Oct 2025 10:10:55 +0530","Sudip Bandyopadhyay advises caution in pharma due to US tariff uncertainties, recommending domestic-focused companies like Mankind Pharma for growth. He also anticipates a strong Q3 for value retailers, including V-Mart, driven by rising incomes and festive demand. Overall, domestic sectors offer safer growth amidst global volatility.",negative,-0.9996557938138722
India bonds get further boost as states opt for conservative borrowing,https://economictimes.indiatimes.com/markets/bonds/india-bonds-get-further-boost-as-states-opt-for-conservative-borrowing/articleshow/124330586.cms,"Mon, 06 Oct 2025 10:08:25 +0530","Indian government bonds surged as states announced significantly lower-than-expected borrowing for the current quarter, easing market concerns. The 10-year benchmark yield dropped to 6.5029%. This positive sentiment is further bolstered by strong expectations of Reserve Bank of India rate cuts in December and February, as the central bank prioritizes growth amid low inflation.",neutral,-1.8027449222302039e-06
Pace Digitek shares list at 4% premium over IPO price on exchanges,https://economictimes.indiatimes.com/markets/stocks/news/pace-digitek-shares-list-at-4-premium-over-ipo-price-on-exchanges/articleshow/124330303.cms,"Mon, 06 Oct 2025 10:06:58 +0530","Pace Digitek, a telecom and energy infrastructure company, listed on exchanges with a modest 3.58% premium, falling short of grey market expectations. The firm showcased strong FY25 financials, reporting Rs 2,462 crore revenue and Rs 279 crore net profit. IPO proceeds will primarily fund capacity expansion and technology upgrades.",negative,-0.9999968983552208
"Fresh peaks! Gold nears Rs 1.2 lakh, silver hits Rs 1.47 lakh amid falling Yen, US govt shutdown. How far can the rally go?",https://economictimes.indiatimes.com/markets/stocks/news/fresh-peaks-gold-nears-rs-1-2-lakh-silver-hits-rs-1-47-lakh-amid-falling-yen-us-govt-shutdown-how-far-can-the-rally-go/articleshow/124330431.cms,"Mon, 06 Oct 2025 10:02:58 +0530",Gold and silver futures hit lifetime highs on Monday. Global macroeconomic uncertainties fueled safe-haven demand. Weak US bond yields and geopolitical tensions also supported the price surge. Investors expect additional Federal Reserve rate cuts soon. Experts predict continued volatility for both precious metals this week. Physical market rates also increased.,positive,0.18765270709991455
Takaichi may allow rate hike if BOJ keeps policy loose,https://economictimes.indiatimes.com/markets/stocks/news/takaichi-may-allow-rate-hike-if-boj-keeps-policy-loose/slideshow/124330628.cms,"Mon, 06 Oct 2025 10:02:42 +0530",,negative,-0.9999335698776122
State debt surprise to further pull down Indian bond yields,https://economictimes.indiatimes.com/markets/bonds/state-debt-surprise-to-further-pull-down-indian-bond-yields/articleshow/124330345.cms,"Mon, 06 Oct 2025 09:53:11 +0530","Indian government bond yields are set for further decline this week, buoyed by states borrowing significantly less than market expectations for the current quarter. This unexpected lower debt supply, combined with the central bank's dovish policy guidance, is fostering a sustained bond rally. Traders anticipate a December rate cut, further strengthening positive market sentiment.",positive,0.6731134038418531
Gold shines as dollar weakens amid US shutdown;  commodities key hedge: Jonathan Schiessl,https://economictimes.indiatimes.com/markets/expert-view/gold-shines-as-dollar-weakens-amid-us-shutdown-commodities-key-hedge-jonathan-schiessl/articleshow/124330147.cms,"Mon, 06 Oct 2025 09:52:00 +0530","US equity markets show resilience despite the ongoing government shutdown. Dollar weakness boosts gold and precious metals. Emerging markets, including India, face limited short-term volatility. Commodities, metals, and value stocks offer attractive investment opportunities. Oil presents more challenges due to supply-side risks. Indian investors may consider metals, mining, and selective value stocks for prudent strategy.",negative,-0.8693714775145054
"Jefferies initiates coverage on JSW Cement, signals 23% upside potential",https://economictimes.indiatimes.com/markets/stocks/news/jefferies-initiates-coverage-on-jsw-cement-signals-23-upside-potential/articleshow/124330315.cms,"Mon, 06 Oct 2025 09:51:58 +0530","JSW Cement shares rose 3% to Rs 142.70 after Jefferies initiated coverage with a target price of Rs 170, signaling 23% upside. The brokerage expects 35% EBITDA CAGR over FY25-28, supported by IPO proceeds of Rs 1,600 crore. JSW leads India’s GGBS market, driving strong margins, and plans rapid expansion into North India to boost growth and profitability.",neutral,-8.371138617846441e-07
"Apollo Hospitals, Max Healthcare, Fortis rise up to 5%. Here’s why",https://economictimes.indiatimes.com/markets/stocks/news/apollo-hospitals-max-healthcare-fortis-rise-up-to-5-heres-why/articleshow/124330227.cms,"Mon, 06 Oct 2025 09:48:14 +0530","Hospital stocks surged up to 5% on Monday, October 6, after the government revised rates under the Central Government Health Services (CGHS) Scheme for nearly 2,000 medical procedures, effective October 13. This marks the first major update in over a decade, addressing complaints from empanelled hospitals that outdated rates previously discouraged them from offering cashless treatments.",neutral,-0.003980850649668355
Nykaa shares jump 2% on strong Q2 business update. Check details,https://economictimes.indiatimes.com/markets/stocks/news/nykaa-shares-jump-2-on-strong-q2-business-update-check-details/articleshow/124330117.cms,"Mon, 06 Oct 2025 09:40:51 +0530","Shares of Nykaa (FSN E-Commerce Ventures) rose after its Q2 update. The company reported strong performance, with consolidated net revenue expected to grow mid-20% YoY, aided by an early festive season. GMV likely surged nearly 30%, driven by fashion growth and steady beauty segment gains.",neutral,-1.1434304081348046e-07
Federal Shutdown Escalates: US government gridlock sparks layoff fears,https://economictimes.indiatimes.com/markets/stocks/news/federal-shutdown-escalates-us-government-gridlock-sparks-layoff-fears/slideshow/124330358.cms,"Mon, 06 Oct 2025 09:40:09 +0530","The US government shutdown enters its fifth day, with federal worker layoffs threatened. Negotiations between Trump and congressional Democrats remain stalled, while a critical Senate vote on stopgap funding is scheduled Monday.",positive,0.9885986978188157
"Sensex jumps over 200 pts, Nifty tops 24,950 as IT, bank stocks rise",https://economictimes.indiatimes.com/markets/stocks/news/sensex-jumps-over-100-pts-nifty-tops-24900-as-banks-it-rise/articleshow/124329862.cms,"Mon, 06 Oct 2025 09:24:45 +0530","Indian equity benchmarks Sensex and Nifty opened higher on Monday, propelled by banking and IT stocks. Investor sentiment was boosted by recent central bank lending reforms and strong Q3 loan growth from major banks. Traders also positioned ahead of the busy quarterly earnings season, contributing to the market's positive start.",neutral,-2.521628783824781e-05
Subscribe for long-term or listing gains? Here's what top 10 brokerages said on Tata Capital IPO,https://economictimes.indiatimes.com/markets/stocks/news/subscribe-for-long-term-or-listing-gains-heres-what-top-10-brokerages-said-on-tata-capital-ipo/slideshow/124330083.cms,"Mon, 06 Oct 2025 09:23:18 +0530","Tata Capital’s Rs 15,512-crore IPO has received largely positive ratings from top brokerages, with most advising subscription for long-term gains. Analysts cite strong loan-book growth, diversified portfolio, Tata Group backing, and attractive valuations as key reasons for subscribing.",negative,-0.9999444458735525
Tata Motors shares in focus as JLR prepares £500 million loan to recover from cyberattack disruption,https://economictimes.indiatimes.com/markets/stocks/news/tata-motors-shares-in-focus-as-jlr-prepares-500-million-loan-to-recover-from-cyberattack-disruption/articleshow/124329947.cms,"Mon, 06 Oct 2025 09:20:37 +0530","Jaguar Land Rover, Tata Motors' UK subsidiary, plans to raise a £500 million private loan to support its supplier base and stabilize operations after a significant cyberattack. This funding is separate from a pending £1.5 billion state-backed guarantee. JLR is restarting production, but full recovery is not anticipated before Christmas, prompting additional financial efforts.",negative,-0.9996817949722754
DMart shares slip over 1% even after strongest Q2 revenue in 4 years,https://economictimes.indiatimes.com/markets/stocks/news/dmart-shares-in-focus-after-posting-strongest-q2-revenue-in-4-years/articleshow/124329894.cms,"Mon, 06 Oct 2025 09:17:45 +0530","DMart shares: In its Q2 FY26 business update, the retailer reported standalone revenue of Rs 16,218.79 crore, up from Rs 14,050.32 crore a year earlier. The figures are subject to a limited review by the company’s statutory auditors.",positive,0.9993904584077882
"Jyoti CNC Automation, HPCL among 7 stocks that closed above VWAP",https://economictimes.indiatimes.com/markets/stocks/news/jyoti-cnc-automation-hpcl-among-7-stocks-that-closed-above-vwap/slideshow/124329835.cms,"Mon, 06 Oct 2025 09:09:11 +0530","When the closing price rises above the VWAP, it signifies that the closing price is higher than the average price at which it was traded throughout the day, with the average being weighted by trading volume.",negative,-0.9999928212157556
"WeWork India IPO Day 2: Check GMP, subscription status and key details. Should you invest?",https://economictimes.indiatimes.com/markets/ipos/fpos/wework-india-ipo-day-2-check-gmp-subscription-status-and-key-details-should-you-invest/articleshow/124329784.cms,"Mon, 06 Oct 2025 09:07:37 +0530","WeWork India IPO GMP: The stock’s grey market premium has dropped sharply, now at only 0.77% above the issue price compared with 2.76% earlier. Though GMP provides a rough hint of potential listing performance, it remains unofficial and highly volatile.",negative,-0.9999980537988904
"October volatility ahead: 67% probability of bearish Nifty candle, says Geojit’s Anand James",https://economictimes.indiatimes.com/markets/expert-view/october-volatility-ahead-67-probability-of-bearish-nifty-candle-says-geojits-anand-james/articleshow/124322952.cms,"Mon, 06 Oct 2025 09:00:00 +0530","Nifty's recent rebound appears shaky, with historical patterns suggesting a 67% probability of a bearish October and high volatility. FII long-short ratio dropped to all-time lows, hinting at a window for fresh long build-up. FINPIPE and PRSMJOHNSN are top buy ideas for the upcoming week.",negative,-0.9998670646746177
